DATABASE_NAME,SCHEMA_NAME,VIEW_NAME,COLUMN_NAME,DISTINCT_VALUES,DATA_TYPE,DESCRIPTION
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,TRANSACTION_DT,"2023-07-03, 2023-07-06, 2023-07-18, 2023-07-20",DATE,The TRANSACTION_DT column likely represents the date on which a transaction occurred.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,TRANSACTION_YEAR,2023,NUMBER,The TRANSACTION_YEAR column likely represents the year in which a transaction took place.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,TRANSACTION_MONTH,"7, 8",NUMBER,The TRANSACTION_MONTH column likely represents the month in which a transaction occurred.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,TRANSACTION_YEAR_MONTH,"2023-07, 2023-08",TEXT,"This column likely represents the year and month when a transaction occurred, formatted together."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,TRANSACTION_MONTH_NUM_NAME,"07 Jul, 08 Aug",TEXT,"This column likely represents the name of the month corresponding to a transaction, using its numerical order in the year."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,TRANSACTION_MONTH_NAME,"Jul, Aug",TEXT,"The column ""TRANSACTION_MONTH_NAME"" likely represents the name of the month in which a transaction occurred."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,TRANSACTION_QUARTER,3,NUMBER,The TRANSACTION_QUARTER column likely represents the specific quarter of the year in which a transaction occurred.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,TRANSACTION_DAY_NUM_OF_MONTH,"8, 11, 23, 25",NUMBER,This column represents the specific day of the month on which a transaction occurred.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,TRANSACTION_DAY_OF_MONTH,"DAY-08, DAY-11, DAY-23, DAY-25",TEXT,"The column ""TRANSACTION_DAY_OF_MONTH"" represents the specific day of the month on which a transaction occurred."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,TRANSACTION_WEEK_OF_YEAR,"2023-W28, 2023-W30, 2023-W33, 2023-W32",TEXT,This column likely represents the specific week number within a year when a transaction occurred.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,STORE_NUMBER,55,TEXT,The STORE_NUMBER column likely represents a unique identifier assigned to each store location within a retail chain or business.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,STORE_NAME,"MCCARTHY TIRE - ROANOKE, VA",TEXT,The STORE_NAME column likely represents the name of a retail or business location.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,STORE_NUM_NAME,"55-MCCARTHY TIRE - ROANOKE, VA",TEXT,"The column ""STORE_NUM_NAME"" likely represents the unique identifier or name associated with each store location."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,CITY,ROANOKE,TEXT,The CITY column likely represents the name of the city associated with each record in the dataset.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,STATE,VA,TEXT,"The ""STATE"" column likely represents the name or abbreviation of a geographical region within a country, such as a state or province."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,REGION,350,TEXT,The REGION column likely represents the geographical area or location associated with each entry in the dataset.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,SALES_REP_NUMBER,"2021, 2030, 2034, 2361",TEXT,The SALES_REP_NUMBER column likely represents a unique identifier assigned to each sales representative.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,SALES_REP_NAME,"GERARD MITCHELL, BRUCE FOWLER, JOSHUA BISHOP, RANDY MEADOR",TEXT,The SALES_REP_NAME column likely represents the name of the sales representative associated with a particular transaction or account.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,SALES_REP_NUM_NAME,"2021-GERARD MITCHELL, 2030-BRUCE FOWLER, 2034-JOSHUA BISHOP, 2361-RANDY MEADOR",TEXT,This column likely represents the identification number and name of the sales representative associated with a transaction or account.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,PARENT_CUSTOMER_NAME,"CASH, VISA/MASTERCARD/DISCOVER, MARK CARLIN, FRIENDSHIP HEALTH & REHAB CENTER INC",TEXT,The PARENT_CUSTOMER_NAME column likely represents the name of the primary or overarching customer associated with a particular account or transaction.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,ACCOUNT_TYPE_NAME,"RETAIL, GCR-CONDOR ACQUISITION",TEXT,"The column ""ACCOUNT_TYPE_NAME"" likely represents the descriptive name or category of a specific type of account."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,ACCOUNT_GROUP,LOCAL,TEXT,The ACCOUNT_GROUP column likely represents a classification or category assigned to a group of related accounts within a financial or organizational system.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,BRAND_NAME,"Unknown, MISC, FIRESTONE",TEXT,"The ""BRAND_NAME"" column likely represents the name of the brand associated with a product or service."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,QUANTITY,"6.75, 2.0, 1.0, 7.0",NUMBER,The QUANTITY column represents the number of units or items associated with a particular transaction or entry.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,COST,"157.7, 70.98, 15.0, 7.2",NUMBER,"The ""COST"" column likely represents the monetary expense or price associated with a product, service, or transaction."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,DAILY_SALES,"304.4, 101.0, 25.0, 12.0",NUMBER,The DAILY_SALES column likely represents the total sales amount generated each day.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,GROSS_PROFIT,"146.7, 30.02, 10.0, 4.8",NUMBER,The GROSS_PROFIT column represents the total revenue remaining after deducting the cost of goods sold.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_BRAND_SALES,GP_PERCENT,"48.19, 29.72, 40.0, 54.05",NUMBER,"The GP_PERCENT column likely represents the gross profit percentage, indicating the proportion of revenue that exceeds the cost of goods sold."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,WORK_ORDER_STATUS,Invoiced,TEXT,"The WORK_ORDER_STATUS column likely represents the current state or progress of a work order, such as ""pending,"" ""in progress,"" or ""completed."""
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_DT,"2023-07-07, 2023-07-05, 2023-07-03, 2023-07-12",DATE,The date on which a transaction occurred.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_YEAR,2023,NUMBER,The TRANSACTION_YEAR column indicates the year in which a transaction took place.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_MONTH,7,NUMBER,The TRANSACTION_MONTH column likely represents the month in which a transaction occurred.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_YEAR_MONTH,2023-07,TEXT,"The TRANSACTION_YEAR_MONTH column likely represents the year and month when a transaction occurred, formatted together for easy reference."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_MONTH_NUM_NAME,07 Jul,TEXT,"This column likely represents the name of the month corresponding to a specific transaction, identified by its numerical order in the year."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_MONTH_NAME,Jul,TEXT,"The column ""TRANSACTION_MONTH_NAME"" likely represents the name of the month in which a transaction occurred."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_QUARTER,3,NUMBER,The TRANSACTION_QUARTER column indicates the specific quarter of the year in which a transaction took place.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_DAY_NUM_OF_MONTH,"12, 10, 8, 17",NUMBER,"The column ""TRANSACTION_DAY_NUM_OF_MONTH"" likely represents the specific day of the month on which a transaction occurred."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_DAY_OF_MONTH,"DAY-12, DAY-10, DAY-08, DAY-17",TEXT,"The column ""TRANSACTION_DAY_OF_MONTH"" likely represents the specific day of the month on which a transaction occurred."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,TRANSACTION_WEEK_OF_YEAR,"2023-W28, 2023-W29",TEXT,"The column ""TRANSACTION_WEEK_OF_YEAR"" likely represents the specific week number within a year when a transaction occurred."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,CUSTOMER_NAME,"VISA/MASTERCARD/DISCOVER, KIRBY-VASS INSULATION INC, CFNA CREDIT CARD (BS/FS CREDIT CARD), KENNARD PACE CO INC",TEXT,The CUSTOMER_NAME column likely represents the full name of the customer.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,PARENT_CUSTOMER_NAME,"VISA/MASTERCARD/DISCOVER, KIRBY-VASS INSULATION INC, CFNA CREDIT CARD (BS/FS CREDIT CARD), KENNARD PACE CO INC",TEXT,The PARENT_CUSTOMER_NAME column likely represents the name of the primary or overarching customer associated with a particular account or transaction.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,ACCOUNT_TYPE_NAME,"RETAIL, GCR-CONDOR ACQUISITION",TEXT,"The column ""ACCOUNT_TYPE_NAME"" likely represents the descriptive name of the type or category of an account."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,ACCOUNT_GROUP,LOCAL,TEXT,The ACCOUNT_GROUP column likely represents a classification or category that groups similar accounts together based on shared characteristics or purposes.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,STORE_NUMBER,55,TEXT,The STORE_NUMBER column likely represents a unique identifier assigned to each store location within a retail chain or business.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,STORE_NAME,"MCCARTHY TIRE - ROANOKE, VA",TEXT,The STORE_NAME column represents the name of the retail or business location.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,STORE_NUM_NAME,"55-MCCARTHY TIRE - ROANOKE, VA",TEXT,"The column ""STORE_NUM_NAME"" likely represents the unique identifier or name assigned to each store location."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,CITY,ROANOKE,TEXT,The CITY column likely represents the name of the city associated with each record in the dataset.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,STATE,VA,TEXT,"The ""STATE"" column likely represents the name or abbreviation of a geographical region within a country."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,REGION,350,TEXT,"The REGION column likely represents the geographical area or division where an entity, such as a customer or business operation, is located."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,FORM_TYPE_CODE,WI,TEXT,"The column ""FORM_TYPE_CODE"" likely represents a code that identifies the specific type or category of a form."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,FORM_TYPE_NAME,RETAIL SERVICE: INVOICE,TEXT,"The column ""FORM_TYPE_NAME"" likely represents the name or designation of a specific type of form used within a system or process."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,SALES_REP_NUMBER,"2029, 2361, 2021, 2030",TEXT,The SALES_REP_NUMBER column likely represents a unique identifier assigned to each sales representative.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,SALES_REP_NAME,"BRAD ISBEL, RANDY MEADOR, GERARD MITCHELL, BRUCE FOWLER",TEXT,The SALES_REP_NAME column likely represents the name of the sales representative responsible for a particular sale or client account.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,SALES_REP_NUM_NAME,"2029-BRAD ISBEL, 2361-RANDY MEADOR, 2021-GERARD MITCHELL, 2030-BRUCE FOWLER",TEXT,This column likely represents the unique identifier and name of the sales representative associated with a transaction or account.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,CATEGORY_CODE,"87, 65, 3, 70",TEXT,The CATEGORY_CODE column likely represents a unique identifier or classification for different categories or types within a dataset.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,CATEGORY_NAME,"RETAIL TIRE SERVICE, RETAIL INVENTORY ITEMS, PASSENGER TIRES, OIL, FILTERS & ADDITIVES",TEXT,The CATEGORY_NAME column likely represents the name or label of a specific group or classification to which an item or record belongs.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,CATEGORY_CODE_NAME,"87-RETAIL TIRE SERVICE, 65-RETAIL INVENTORY ITEMS, 3-PASSENGER TIRES, 70-OIL, FILTERS & ADDITIVES",TEXT,The CATEGORY_CODE_NAME column likely represents the descriptive name associated with a specific category code.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,CATEGORY_GROUP_ID,"8, 9, 1",TEXT,The CATEGORY_GROUP_ID column likely represents a unique identifier for a group of related categories within a dataset.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,CATEGORY_GROUP_NAME,"BILLED LABOR, MECHANICAL PARTS, RETAIL",TEXT,The CATEGORY_GROUP_NAME column likely represents the name of a group or classification to which a specific category belongs.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,CATEGORY_GROUP_ID_NAME,"8-BILLED LABOR, 9-MECHANICAL PARTS, 1-RETAIL",TEXT,"The column ""CATEGORY_GROUP_ID_NAME"" likely represents the name associated with a specific group of categories."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,CLASS_ID,"801, 836, 3, 805",TEXT,The CLASS_ID column likely represents a unique identifier for each class or course within a dataset.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,CLASS_NAME,"PLT WHEEL BALANCE, MISC RETAIL PARTS, PASS TIRES - MISC BRAND, PLT CHANGE/MOUNT",TEXT,The CLASS_NAME column likely represents the name or title of a specific class or course.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,CLASS_ID_NAME,"801-PLT WHEEL BALANCE, 836-MISC RETAIL PARTS, 3-PASS TIRES - MISC BRAND, 805-PLT CHANGE/MOUNT",TEXT,"The column ""CLASS_ID_NAME"" likely represents the identifier or name associated with a specific class or category."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,VENDOR_NUMBER,28,NUMBER,"The ""VENDOR_NUMBER"" column likely represents a unique identifier assigned to each vendor in the database."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,VENDOR_NAME,MISC VENDORS,TEXT,"The ""VENDOR_NAME"" column likely represents the name of the supplier or company providing goods or services."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_QUANTITY,"4.0, 5.0, 6.0, 1.0",NUMBER,"The column ""DAILY_TOTAL_QUANTITY"" likely represents the total amount or number of items or units accumulated or recorded for each day."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_COST,"42.0, 281.76, 471.22, 0.79",NUMBER,The DAILY_TOTAL_COST column likely represents the total expenses incurred in a single day.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_SALE,"96.0, 445.54, 620.74, 1.59",NUMBER,The DAILY_TOTAL_SALE column likely represents the total amount of sales made in a single day.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_GROSS_PROFIT,"54.0, 163.78, 149.52, 0.8",NUMBER,The DAILY_TOTAL_GROSS_PROFIT column likely represents the total gross profit earned by a business or entity for each day.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,DAILY_GROSS_PROFIT_PCT,"56.25, 36.76, 24.09, 50.31",NUMBER,This column likely represents the percentage of gross profit earned each day relative to daily sales.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_FEE_QUANTITY,0.0,NUMBER,"The column ""DAILY_TOTAL_FEE_QUANTITY"" likely represents the total number of fees accumulated or charged in a single day."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_FEE_COST,0.0,NUMBER,The DAILY_TOTAL_FEE_COST column likely represents the total cost of fees incurred each day.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_FEE_SALE,0.0,NUMBER,The total amount of fees collected from sales in a single day.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_FEE_GROSS_PROFIT,0.0,NUMBER,"The column ""DAILY_TOTAL_FEE_GROSS_PROFIT"" likely represents the total gross profit earned from fees on a daily basis."
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,DAILY_FEE_GROSS_PROFIT_PCT,0.0,NUMBER,This column likely represents the percentage of gross profit earned from daily fees.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_CAT88_QUANTITY,0.0,NUMBER,This column likely represents the total quantity of items in category 88 sold or processed each day.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_CAT88_COST,0.0,NUMBER,This column likely represents the total daily cost associated with category 88.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_CAT88_SALE,0.0,NUMBER,The column represents the total sales amount for category 88 recorded on a daily basis.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,DAILY_TOTAL_CAT88_GROSS_PROFIT,0.0,NUMBER,This column likely represents the total gross profit for category 88 on a daily basis.
REPORTING_UAT,GOLD_SALES,V_SMM_DAILY_SALES,DAILY_CAT88_GROSS_PROFIT_PCT,0.0,NUMBER,This column likely represents the daily percentage of gross profit attributed to category 88.
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,TRANSACTION_DT,"2024-02-23, 2024-03-25, 2024-04-18, 2024-04-08",DATE,The date on which a transaction occurred.
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,TRANSACTION_YEAR,2024,NUMBER,The TRANSACTION_YEAR column likely represents the year in which a transaction occurred.
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,TRANSACTION_MONTH,"2, 3, 4, 6",NUMBER,The TRANSACTION_MONTH column likely represents the month in which a transaction occurred.
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,TRANSACTION_YEAR_MONTH,"2024-02, 2024-03, 2024-04, 2024-06",TEXT,"This column likely represents the year and month when a transaction occurred, formatted together."
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,TRANSACTION_MONTH_NUM_NAME,"02 Feb, 03 Mar, 04 Apr, 06 Jun",TEXT,"This column likely represents the name of the month corresponding to a transaction, using a numerical value to identify the month."
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,TRANSACTION_MONTH_NAME,"Feb, Mar, Apr, Jun",TEXT,The TRANSACTION_MONTH_NAME column likely represents the name of the month in which a transaction occurred.
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,TRANSACTION_QUARTER,"1, 2",NUMBER,"The column ""TRANSACTION_QUARTER"" likely represents the specific quarter of the year in which a transaction took place."
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,TRANSACTION_DAY_NUM_OF_MONTH,"29, 24, 14, 12",NUMBER,This column represents the specific day of the month on which a transaction occurred.
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,TRANSACTION_DAY_OF_MONTH,"DAY-29, DAY-24, DAY-14, DAY-12",TEXT,"The column ""TRANSACTION_DAY_OF_MONTH"" likely represents the specific day of the month on which a transaction occurred."
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,TRANSACTION_WEEK_OF_YEAR,"2024-W08, 2024-W13, 2024-W16, 2024-W15",TEXT,"The column ""TRANSACTION_WEEK_OF_YEAR"" likely represents the specific week number within a year when a transaction occurred."
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,FORM_TYPE_CODE,"TI, NI",TEXT,"The column ""FORM_TYPE_CODE"" likely represents a code that identifies the specific type or category of a form."
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,POS_PREFIX,33-,TEXT,The POS_PREFIX column likely represents a prefix or identifier associated with a point of sale (POS) system or transaction.
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,WORK_ORDER_NUMBER,"70283, 70385, 70487, 70441",TEXT,The WORK_ORDER_NUMBER column likely represents a unique identifier assigned to each work order for tracking and reference purposes.
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,STORE_NUMBER,33,TEXT,The STORE_NUMBER column likely represents a unique identifier assigned to each store location.
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,STORE_NAME,"MCCARTHY TIRE - CLEVELAND, NC",TEXT,The STORE_NAME column likely represents the name of a retail or business location.
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,STORE_NUM_NAME,"33-MCCARTHY TIRE - CLEVELAND, NC",TEXT,"The column ""STORE_NUM_NAME"" likely represents the unique identifier or name assigned to each store location."
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,STORE_CITY,CLEVELAND,TEXT,"The column ""STORE_CITY"" likely represents the name of the city where a store is located."
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,STORE_STATE,NC,TEXT,The STORE_STATE column likely represents the U.S. state in which a store is located.
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,REGION,400,TEXT,The REGION column likely represents the geographical area or location associated with the data entry.
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,SALES_REP_NUMBER,"1381, 628, 1440, 1550",TEXT,The SALES_REP_NUMBER column likely represents a unique identifier assigned to each sales representative.
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,SALES_REP_NAME,"JOE CROSSEN, SHANE HARRILL, PHILLIP BLEVINS, PARKS JORDAN",TEXT,The SALES_REP_NAME column likely represents the name of the sales representative responsible for a particular sale or client account.
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,SALES_REP_NUM_NAME,"1381-JOE CROSSEN, 628-SHANE HARRILL, 1440-PHILLIP BLEVINS, 1550-PARKS JORDAN",TEXT,"The column ""SALES_REP_NUM_NAME"" likely represents the unique identifier and name of a sales representative."
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,STORE_MANAGER_NAME,GARY BRAMLEY,TEXT,"The column ""STORE_MANAGER_NAME"" likely represents the name of the individual responsible for managing a specific store."
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,AREA_MANAGER_NUMBER,1857,TEXT,The AREA_MANAGER_NUMBER column likely represents a unique identifier assigned to each area manager within an organization.
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,AREA_MANAGER_NAME,GARY BRAMLEY,TEXT,The AREA_MANAGER_NAME column likely represents the name of the individual responsible for overseeing operations within a specific geographic area.
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,AREA_MANAGER_NUM_NAME,1857-GARY BRAMLEY,TEXT,"The column ""AREA_MANAGER_NUM_NAME"" likely represents the identifier and name of the manager responsible for overseeing a specific geographic area."
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,REGIONAL_MANAGER_NUMBER,2240,TEXT,The REGIONAL_MANAGER_NUMBER column likely represents a unique identifier assigned to each regional manager within an organization.
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,REGIONAL_MANAGER_NAME,NICK THOMPSON,TEXT,"The column ""REGIONAL_MANAGER_NAME"" likely represents the name of the individual responsible for overseeing operations within a specific geographic region."
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,REGIONAL_MANAGER_NUM_NAME,2240-NICK THOMPSON,TEXT,"The column ""REGIONAL_MANAGER_NUM_NAME"" likely represents the unique identifier and name of a regional manager."
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,CUSTOMER_ID,"5, 65001508, 10200345, 65001157",TEXT,A unique identifier assigned to each customer to distinguish them from others in the database.
REPORTING_UAT,GOLD_SALES,V_SMM_ITEM_DAILY_FEE_CAT88_INCVA_SALE,CUSTOMER_NAME,"VISA/MASTERCARD/DISCOVER, R H MCGIRT TRUCKING CO INC, HANSON  JEFFERSON QUARRY, HAMMILL CONSTRUCTION CO INC",TEXT,The CUSTOMER_NAME column likely represents the full name of the individual or entity purchasing goods or services.
